year,estimated_aqi
1963,107.35659808802778
1964,109.66892404726778
1965,116.79596348787607
1966,107.24440123326585
1967,106.61114377290646
1968,110.09836749015923
1969,106.96036115752189
1970,109.08980805888952
1971,98.6044153415786
1972,111.08563812147385
1973,118.19677845911305
1974,99.85288273708869
1975,101.65206286856032
1976,103.33824177711438
1977,117.21357957033445
1978,114.5884072208607
1979,102.48571622563148
1980,111.70657071821937
1981,121.80010234849175
1982,127.80414693960701
1983,125.0953759353768
1984,125.14416413015178
1985,123.09956613902675
1986,131.26717006333973
1987,111.91777042721091
1988,113.91153238555202
1989,114.31948308804672
1990,123.17240754724229
1991,127.31052961970883
1992,124.64734418607577
1993,98.30492892524772
1994,109.50338157800344
1995,98.3743028340038
1996,109.44646586982554
1997,111.65747014521304
1998,111.14215547373114
1999,113.51731994078047
2000,107.06943453366041
2001,120.66926522243493
2002,109.40043264018894
2003,110.88120690558472
2004,112.68869478842424
2005,107.93591984796751
2006,111.93051498096708
2007,113.25106691439244
2008,107.85224080023971
2009,106.34853831387066
2010,107.54630072256303
2011,101.08119587345236
2012,102.50058861231963
2013,115.02326680810181
2014,115.84880193661643
2015,108.88948590859876
2016,98.1782155274623
2017,103.64952980795957
2018,107.63122391459356
2019,105.81958968158774
2020,96.03854335879755
